abundance,pct,reads,sample,tax_name,technique
0,7.05E-05,186,IonXpress_001_NF002-centrifuge_report,Buchnera aphidicola,database
7.91E-21,0.000287875,759,IonXpress_001_NF002-centrifuge_report,Archangium gephyra,database
0,0.000199123,525,IonXpress_001_NF002-centrifuge_report,Chondromyces crocatus,database
0,1.90E-06,5,IonXpress_001_NF002-centrifuge_report,Borreliella burgdorferi,database
0,1.06E-05,28,IonXpress_001_NF002-centrifuge_report,Leptospira interrogans,database
9.87E-23,0.000383833,1012,IonXpress_001_NF002-centrifuge_report,Azospirillum brasilense,database
0,1.63E-05,43,IonXpress_001_NF002-centrifuge_report,Campylobacter coli,database
0,8.34E-06,22,IonXpress_001_NF002-centrifuge_report,Campylobacter fetus,database
0,3.94E-05,104,IonXpress_001_NF002-centrifuge_report,Campylobacter jejuni,database
0,3.11E-05,82,IonXpress_001_NF002-centrifuge_report,Campylobacter concisus,database
0,1.56E-05,41,IonXpress_001_NF002-centrifuge_report,Campylobacter lari,database
0,5.35E-05,141,IonXpress_001_NF002-centrifuge_report,Helicobacter pylori,database
0,7.59E-07,2,IonXpress_001_NF002-centrifuge_report,Brucella abortus,database
0,1.44E-05,38,IonXpress_001_NF002-centrifuge_report,Elizabethkingia meningoseptica,database
7.14E-08,3.45E-05,91,IonXpress_001_NF002-centrifuge_report,Chryseobacterium indologenes,database
0,5.39E-05,142,IonXpress_001_NF002-centrifuge_report,Francisella tularensis,database
1.64E-05,0.001760625,4642,IonXpress_001_NF002-centrifuge_report,Pseudomonas aeruginosa,database
1.03E-07,0.000639848,1687,IonXpress_001_NF002-centrifuge_report,Burkholderia cepacia,database
4.12E-06,0.001191323,3141,IonXpress_001_NF002-centrifuge_report,Pseudomonas fluorescens,database
4.04E-07,0.000227948,601,IonXpress_001_NF002-centrifuge_report,Pseudomonas fragi,database
1.23E-06,0.000952376,2511,IonXpress_001_NF002-centrifuge_report,Pseudomonas putida,database
7.06E-08,0.00047524,1253,IonXpress_001_NF002-centrifuge_report,Ralstonia solanacearum,database
1.46E-06,0.000982718,2591,IonXpress_001_NF002-centrifuge_report,Pseudomonas stutzeri,database
3.92E-08,0.000194192,512,IonXpress_001_NF002-centrifuge_report,Pseudomonas syringae,database
3.16E-06,0.000383074,1010,IonXpress_001_NF002-centrifuge_report,Xanthomonas campestris,database
1.47E-08,5.99E-05,158,IonXpress_001_NF002-centrifuge_report,Xanthomonas citri,database
0,0.000273841,722,IonXpress_001_NF002-centrifuge_report,Xanthomonas oryzae,database
4.70E-07,6.90E-05,182,IonXpress_001_NF002-centrifuge_report,Agrobacterium tumefaciens,database
1.67E-119,0.000114543,302,IonXpress_001_NF002-centrifuge_report,Agrobacterium rhizogenes,database
5.06E-08,0.000288633,761,IonXpress_001_NF002-centrifuge_report,Bradyrhizobium japonicum,database
7.30E-08,0.000334906,883,IonXpress_001_NF002-centrifuge_report,Bradyrhizobium sp.,database
0,0.000259049,683,IonXpress_001_NF002-centrifuge_report,Sinorhizobium meliloti,database
0,0.000399763,1054,IonXpress_001_NF002-centrifuge_report,Rhizobium leguminosarum,database
0,0.000104302,275,IonXpress_001_NF002-centrifuge_report,Sinorhizobium fredii,database
0,2.73E-05,72,IonXpress_001_NF002-centrifuge_report,Rhizobium phaseoli,database
5.18E-07,0.000433139,1142,IonXpress_001_NF002-centrifuge_report,Methylobacterium extorquens,database
0,2.24E-05,59,IonXpress_001_NF002-centrifuge_report,Acetobacter aceti,database
0,7.40E-05,195,IonXpress_001_NF002-centrifuge_report,Acetobacter pasteurianus,database
1.27E-24,4.67E-05,123,IonXpress_001_NF002-centrifuge_report,Gluconobacter oxydans,database
3.05E-08,7.24E-05,191,IonXpress_001_NF002-centrifuge_report,Legionella pneumophila,database
0,1.25E-05,33,IonXpress_001_NF002-centrifuge_report,Legionella hackeliae,database
0,1.56E-05,41,IonXpress_001_NF002-centrifuge_report,Legionella longbeachae,database
