abundance,pct,reads,sample,Patient,Time,tax_name
0,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Myxococcus fulvus
0,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Archangium gephyra
0,1.61E-06,2,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Leptospira borgpetersenii
0,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Helicobacter pylori
0,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Paracoccus denitrificans
0,1.61E-06,2,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Burkholderia cepacia
0.000563941,3.22E-06,4,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Pseudomonas fluorescens
1.04E-13,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Pseudomonas putida
0,1.61E-06,2,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Ralstonia solanacearum
0,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Pseudomonas stutzeri
0,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Ralstonia pickettii
0.00467028,6.43E-06,8,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Xanthomonas campestris
0,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Xanthomonas translucens
0,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Mesorhizobium loti
0,1.61E-06,2,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Neisseria meningitidis
0,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Citrobacter koseri
0,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Pectobacterium carotovorum
0,8.04E-07,1,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Klebsiella pneumoniae
0,2.41E-06,3,DFU_WGS_BC075_pt57_tube79-2_3deepcurretage.fa,Patient1,1,Proteus mirabilis
